Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:07:14:925, 3440, 328187, -425140, 402203, 1938931, -2183206, -37427491, 
00:07:14:937, 3440, 80093, -404296, 2024859, -6900765, -8526720, -36083979, 
00:07:14:949, 3439, 240281, -226203, -124765, -8229010, -11587789, -33824437, 
00:07:14:960, 3417, 249187, -192234, 1036015, -9687025, -18557257, -30022909, 
00:07:14:976, 3417, 487765, 441437, -465453, -8549620, -25763366, -27664130, 
00:07:14:988, 3417, 642796, -682406, -396625, -4435115, -33358788, -26809168, 
00:07:15:00, 3426, 30953, 62734, 1466500, -3137405, -33206116, -28305351, 
00:07:15:11, 3419, 388140, -388296, 358015, -6648856, -22824434, -32412223, 
00:07:15:23, 3419, 351328, -156546, 1725531, -5167940, -12641225, -36938942, 
00:07:15:39, 3419, 284218, -935015, 1381953, 6854963, 5030535, -38099247, 
00:07:15:50, 3423, 347265, 341484, 304140, 10213743, 10083972, -38717568, 
00:07:15:62, 3427, 354671, -53937, 1836796, -2847329, 20007639, -38450392, 
00:07:15:74, 3421, 263312, 528437, -57281, -7954200, 15099241, -36488560, 
00:07:15:85, 3421, 442093, 930703, -479734, -13083973, 11068705, -33442757, 
00:07:15:101, 3432, 386828, -1193000, 815734, -11419850, 8671758, -29587794, 
00:07:15:113, 3421, -370187, 1257578, 1340703, -2496183, 9503819, -26114511, 
00:07:15:125, 3425, 136296, 442343, 5627750, 3564886, 6076337, -23778632, 
00:07:15:136, 3425, 210171, 1391687, 559359, -2473283, -603053, -23519090, 
00:07:15:148, 3425, 345031, 2007750, 1137250, -9129773, -13748095, -30885505, 
00:07:15:164, 3424, -332093, 2452234, 3626218, -6549620, -21702296, -40015278, 
00:07:15:175, 3419, 182343, -1039984, -2474265, -1419847, -12748095, -50595434, 
00:07:15:210, 3436, -709250, 1419953, 642078, -16755730, -53374061, -69137424, 
00:07:15:250, 3439, -701156, 42906, 673578, -43053447, -80305366, -81137428, 
00:07:15:261, 3421, -698984, -304328, 86984, -36931308, -88374071, -82366436, 
00:07:15:273, 3421, 345281, 842437, 1000640, -33015276, -73625975, -88236666, 
