Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:06:24:597, 0, -73187, -68437, 1152671, -1954199, -11587789, -12251911, 
00:06:24:636, 0, -65890, 41984, 1217109, -4664123, -8038170, -7740460, 
00:06:24:648, 0, -27765, 41765, 1115265, -4465650, -7267177, -6679391, 
00:06:24:660, 0, 39093, 16031, 1131156, -4839696, -7793895, -6564887, 
00:06:24:671, 0, -34421, -7593, 1568468, -4580154, -8824430, -6488551, 
00:06:24:683, 0, 62046, 66718, 1058765, -4610688, -10106873, -6923666, 
00:06:24:699, 0, -18203, -25484, 1067734, -4015268, -12778629, -7610689, 
00:06:24:710, 0, -41968, -131218, 913218, -3358779, -16412218, -8534353, 
00:06:24:722, 0, -410578, -252875, 595265, 366412, -12870232, -9236643, 
00:06:24:734, 0, -272250, 161843, 2164484, 24320617, -10877865, -12122140, 
00:06:24:761, 0, -267671, -106406, 1665359, 8885498, -21160311, -14900767, 
00:06:24:773, 0, -548187, 27781, 916062, 4549619, -10412216, -15122141, 
00:06:24:785, 0, 3531, 179500, 1457296, -328244, -6045803, -15328248, 
00:06:24:796, 0, -117578, 41765, 1299468, -2015267, 1916031, -15496187, 
00:06:24:808, 0, -69750, -127265, 135609, -648855, 6984734, -14839698, 
00:06:24:824, 0, -151453, 438046, 1608859, 236641, 9129773, -12801530, 
00:06:24:835, 0, -122437, -5812, 495343, 1969466, 5213741, -12305347, 
00:06:24:847, 0, -19656, 62187, 909796, 1007633, 961832, -12687026, 
00:06:24:859, 0, -197062, 8296, 549515, -3412214, -1000000, -11473285, 
00:06:24:871, 0, -318578, 117000, 1347234, -648855, 2656489, -10259544, 
00:06:24:886, 0, -203562, 25984, 1062921, 1213740, 610687, -9717560, 
00:06:24:898, 0, -343703, 107437, 699109, -1435114, 358778, -8923666, 
